"filename", "language", "JSON with Comments", "JSON", "TOML", "TypeScript", "Markdown", "Ignore", "JavaScript", "YAML", "HTML", "Rust", "XML", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/hieu/Work/crea8r/phanuel/app/web/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/hieu/Work/crea8r/phanuel/app/web/src/components/Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 2, 60
"/Users/hieu/Work/crea8r/phanuel/app/web/src/components/MembershipList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 63
"/Users/hieu/Work/crea8r/phanuel/app/web/src/components/ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 1, 11, 150
"/Users/hieu/Work/crea8r/phanuel/app/web/src/context/Profile.js", "JavaScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/config.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/sendTxn.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 45
"/Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/shortenAddress.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/hieu/Work/crea8r/phanuel/app/web/src/funcs/v0Helper.ts", "TypeScript", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 186
"/Users/hieu/Work/crea8r/phanuel/app/web/src/icons/key.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"/Users/hieu/Work/crea8r/phanuel/app/web/src/icons/upload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"/Users/hieu/Work/crea8r/phanuel/app/web/src/icons/wallet.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 2, 23
"/Users/hieu/Work/crea8r/phanuel/app/web/src/idl.json", "JSON", 0, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000
